T_keV,sv_m3_per_s_adopted,sv_m3_per_s_low,sv_m3_per_s_high,Palpha_per_ne2_Wm3_adopted,Palpha_per_ne2_Wm3_low,Palpha_per_ne2_Wm3_high,Pbrem_per_ne2_Wm3
25.4691843897454,5.676862672118422e-22,5.284250154011791e-22,6.087621435605593e-22,7.958419636733073e-35,7.40801435934752e-35,8.534264218169216e-35,3.65689698310825e-36
25.913963014396586,5.7756863142521495e-22,5.376182765677697e-22,6.1914924422267495e-22,8.096960950757329e-35,7.536895106372017e-35,8.679881455457882e-35,3.696095121289738e-36
26.366508987303583,5.874139242915504e-22,5.46718765407672e-22,6.294381530693668e-22,8.234982559878963e-35,7.664475273923122e-35,8.824122137213731e-35,3.735828874409476e-36
26.826957952797247,5.972292901291714e-22,5.55734114013156e-22,6.396346872060111e-22,8.372584620621946e-35,7.790861856649992e-35,8.967067813701987e-35,3.7761080248612075e-36
27.29544792402006,6.0699085416995035e-22,5.646624767522822e-22,6.497324910786219e-22,8.509432431524465e-35,7.916028980554406e-35,9.108629386121839e-35,3.816942574941458e-36
27.772119324293552,6.166735857688794e-22,5.735024421996972e-22,6.597253987364021e-22,8.64517508683407e-35,8.039956858800043e-35,9.248720413728221e-35,3.8583427523092765e-36
28.257115029208283,6.262513282795262e-22,5.822530355298953e-22,6.6960744343784e-22,8.779445895333054e-35,8.162631825263739e-35,9.387257248500111e-35,3.900319015586798e-36
28.7505804094488,6.356968387490763e-22,5.909137199023206e-22,6.793728666658837e-22,8.911862936825064e-35,8.284046353953291e-35,9.524159161524669e-35,3.9428820601042894e-36
29.25266337436645,6.44981837955765e-22,5.994843969055025e-22,6.890161265385193e-22,9.042029763612135e-35,8.404199065233808e-35,9.659348460905528e-35,3.986042823793456e-36
29.76351441631318,6.54077071263177e-22,6.079654061313463e-22,6.985319056034812e-22,9.169536253613883e-35,8.523094719859681e-35,9.792750601037175e-35,4.029812493232908e-36
30.283286655749457,6.629544107714021e-22,6.163593089181988e-22,7.079171183436519e-22,9.293988080520312e-35,8.640769225349854e-35,9.924322325914604e-35,4.074202509849726e-36
30.812135887140023,6.716416673866538e-22,6.247034001106331e-22,7.172108235678327e-22,9.415775126692346e-35,8.757745419829083e-35,1.0054611202757433e-34,4.119224576281234e-36
31.35022062565114,6.801597073995241e-22,6.329887953845263e-22,7.264092593319502e-22,9.535189917608202e-35,8.873898753552834e-35,1.0183564492700351e-34,4.1648906629011756e-36
31.897702154663214,6.885116282724748e-22,6.411830830141043e-22,7.354841110338317e-22,9.652275876735215e-35,8.988774845061203e-35,1.0310785252045836e-34,4.2112130145145556e-36
32.454744574113306,6.967012233446893e-22,6.4925246234719e-22,7.444060207197637e-22,9.76708618306817e-35,9.101899841471786e-35,1.0435861910303596e-34,4.258204157225608e-36
33.02151484968176,7.047329666457329e-22,6.571617990038388e-22,7.53144639080349e-22,9.879683558231328e-35,9.212781192311858e-35,1.0558368999122862e-34,4.3058769054833706e-36
33.59818286283781,7.126119969709093e-22,6.648746978195133e-22,7.616686886654351e-22,9.99014004323011e-35,9.320908672112058e-35,1.0677868038505332e-34,4.354244369309547e-36
34.18492146175929,7.203441014275126e-22,6.723535944148906e-22,7.699460387352368e-22,1.009853676778526e-34,9.425755664127695e-35,1.0793908586146484e-34,4.403319961713427e-36
34.7819065131413,7.279478565688823e-22,6.79581509371494e-22,7.779652076627366e-22,1.0205134157444159e-34,9.527084133117774e-35,1.0906329680594202e-34,4.4531174062987e-36
35.38931695490988,7.354760542862909e-22,6.866457370673286e-22,7.858136503503502e-22,1.0310672304135097e-34,9.626117862943589e-35,1.10163573561088e-34,4.503650745067283e-36
36.007334849856186,7.428921887750056e-22,6.935429275438735e-22,7.934824180161122e-22,1.0414639431318774e-34,9.722809890384055e-35,1.1123866159308313e-34,4.554934346425226e-36
36.63614544020716,7.501456632910031e-22,7.002517351265792e-22,8.009441092438662e-22,1.0516326220936172e-34,9.81686096945542e-35,1.1228471948491577e-34,4.606982913396044e-36
37.2759372031494,7.5718419167452645e-22,7.06750377837804e-22,8.08170693404627e-22,1.0614999670932157e-34,9.90796573762101e-35,1.1329781760994126e-34,4.659811492046863e-36
37.926901907322495,7.639539241653579e-22,7.130166918093226e-22,8.151335801498016e-22,1.0709904859065513e-34,9.995813478602665e-35,1.1427394787416813e-34,4.71343548013298e-36
38.58923467029903,7.7039960980293875e-22,7.190281916373247e-22,8.218036979207744e-22,1.0800267219603626e-34,1.0080088968500214e-34,1.1520903472255268e-34,4.76787063596656e-36
39.263134017068374,7.765212444213426e-22,7.247960136426088e-22,8.282024004092137e-22,1.0886086694144184e-34,1.0160948327902166e-34,1.1610607173885602e-34,4.823133087515288e-36
39.9488019395417,7.824332851886126e-22,7.30389142213101e-22,8.344298112299048e-22,1.0968967862939218e-34,1.023935865208492e-34,1.1697909529823864e-34,4.87923934173706e-36
40.64644395709628,7.881227334688608e-22,7.3578872830371305e-22,8.404459551125926e-22,1.1048728497520163e-34,1.0315055695426857e-34,1.1782250124935577e-34,4.9362062941568666e-36
41.35626917817708,7.935680889034121e-22,7.409702599193351e-22,8.462016846234449e-22,1.1125067183379465e-34,1.0387695823152074e-34,1.1862939959107306e-34,4.99405123869218e-36
42.07849036297403,7.987476253846489e-22,7.459088561291398e-22,8.516468713541266e-22,1.1197679341224862e-34,1.0456930228358035e-34,1.1939276279899374e-34,5.0527918777334246e-36
42.81332398719393,8.036394526858238e-22,7.505793372490188e-22,8.567305658652256e-22,1.1266258090970537e-34,1.052240591590636e-34,1.201054482480005e-34,5.1124463324861326e-36
43.56099030694608,8.08291886187301e-22,7.550228415694177e-22,8.614881498381952e-22,1.133148076813446e-34,1.0584699605364544e-34,1.2077241611213165e-34,5.1730331535817084e-36
44.32171342476086,8.129298568711563e-22,7.59450389701232e-22,8.661911486978594e-22,1.1396500690399397e-34,1.0646769604288198e-34,1.2143173166436638e-34,5.2345713319637826e-36
45.095721356761466,8.175310544864565e-22,7.638423702144693e-22,8.708270598314325e-22,1.1461005089341339e-34,1.0708340979147004e-34,1.220816421577236e-34,5.297080310057417e-36
45.883246101008446,8.220478219153395e-22,7.681553421759284e-22,8.753533653179011e-22,1.1524325857654313e-34,1.076880472951979e-34,1.2271618698549064e-34,5.360579993228541e-36
46.6845237070379,8.26431492765058e-22,7.723449262803352e-22,8.79726727604261e-22,1.1585780738961766e-34,1.082753869990455e-34,1.2332929063637262e-34,5.425090761541236e-36
47.4997943466141,8.306324548534778e-22,7.763658624560431e-22,8.83903053208224e-22,1.1644674217822643e-34,1.088390838729539e-34,1.239147716250041e-34,5.490633481820697e-36
48.32930238571752,8.3460024293969365e-22,7.80172093500624e-22,8.878375781039818e-22,1.1700298819726131e-34,1.0937268113673678e-34,1.2446635446221812e-34,5.557229520029811e-36
49.17329645779018,8.382836614958116e-22,7.8371687547133275e-22,8.914849752848833e-22,1.1751936832234857e-34,1.0986962573577e-34,1.2497768473430693e-34,5.624900753967661e-36
50.03202953826004,8.416309381385226e-22,7.869529153993324e-22,8.947994848649042e-22,1.1798862455949104e-34,1.1032328764721156e-34,1.254423473420063e-34,5.693669586298331e-36
50.905759020366816,8.4458990811140415e-22,7.898325366973194e-22,8.977350669184796e-22,1.1840344390772616e-34,1.1072698306857188e-34,1.2585388792718129e-34,5.7635589579186756e-36
51.7947467923121,8.471111368552473e-22,7.92310214308368e-22,9.002483757724449e-22,1.187568961136822e-34,1.1107432982138497e-34,1.2620622984016802e-34,5.8345923616739806e-36
52.699259315756564,8.494731807978057e-22,7.946079807116697e-22,9.026104125437115e-22,1.1908803212984142e-34,1.11396454740039e-34,1.2653736485098058e-34,5.906793856430568e-36
53.61956770568817,8.518330047527416e-22,7.968609093008304e-22,9.049703249209429e-22,1.194188569249247e-34,1.117122938251061e-34,1.2686820204202573e-34,5.980188081514764e-36
54.55594781168517,8.541144155919262e-22,7.990185680506345e-22,9.072518242216888e-22,1.197386889495956e-34,1.1201477698800074e-34,1.2718804646816321e-34,6.054800271527804e-36
55.50868030059805,8.562404212066686e-22,8.010300101056992e-22,9.093778685262541e-22,1.2003673464506873e-34,1.1229676196586184e-34,1.2748609758758025e-34,6.130656271546521e-36
56.47805074067555,8.58133335495243e-22,8.028438501785611e-22,9.112707616235087e-22,1.2030210316135913e-34,1.1255104503183514e-34,1.2775146313304985e-34,6.207782552719976e-36
57.46434968715974,8.597149532606939e-22,8.044083736106087e-22,9.128523178307484e-22,1.2052383087628503e-34,1.1277037628437522e-34,1.279731822181021e-34,6.286206228272354e-36
58.467872769375894,8.609067957361604e-22,8.0567167838641e-22,9.140440933256456e-22,1.2069091581577514e-34,1.1294747955629854e-34,1.2814025776755567e-34,6.365955069922836e-36
59.48892077934334,8.616304269255455e-22,8.065818501691162e-22,9.147676841579437e-22,1.2079236200181095e-34,1.1307507695307661e-34,1.282416982959131e-34,6.447057524733332e-36
