T_keV,Pdt_per_ne2_Wm3_adopted,Pdt_per_ne2_Wm3_low,Pdt_per_ne2_Wm3_high,Pdd_fullboost_inDT_per_ne2_Wm3_adopted,Ptotal_dt_plus_fullboostdd_per_ne2_Wm3_adopted,Pdd_fullboost_inDT_per_ne2_Wm3_low,Ptotal_dt_plus_fullboostdd_per_ne2_Wm3_low,Pdd_fullboost_inDT_per_ne2_Wm3_high,Ptotal_dt_plus_fullboostdd_per_ne2_Wm3_high,Pbrem_per_ne2_Wm3
10.174634027476063,1.6324519977540514e-35,1.5051126778864633e-35,1.7576490639915292e-35,3.338334669191103e-37,1.6658353444459625e-35,3.1243184324736315e-37,1.5363558622111995e-35,3.5621202626174107e-37,1.7932702666177032e-35,2.151780349605519e-36
10.352317759307384,1.7040391195193834e-35,1.5709883912760778e-35,1.8347607798772416e-35,3.4782427144090614e-37,1.738821546663474e-35,3.2556732666505908e-37,1.6035451239425838e-35,3.7096673671912896e-37,1.8718574535491544e-35,2.172357573515971e-36
10.53310445370937,1.7775556708279078e-35,1.6391550016165537e-35,1.913994919957089e-35,3.620587441234342e-37,1.8137615452402513e-35,3.390175470875421e-37,1.6730567563253078e-35,3.8615457407845855e-37,1.9526103773649348e-35,2.1931628878393865e-36
10.717048298967107,1.8530643978058741e-35,1.7095534359366767e-35,1.9954512577443716e-35,3.768757529576525e-37,1.8907519731016394e-35,3.5302343884002194e-37,1.744855779820679e-35,4.019642202977779e-37,2.0356476797741492e-35,2.2141995698220444e-36
10.904204429677527,1.9309056900869e-35,1.7821460961159288e-35,2.0794221900421675e-35,3.922991378409422e-37,1.9701356038709942e-35,3.6760795847023108e-37,1.818906891962952e-35,4.184211330014489e-37,2.1212643033423124e-35,2.235470959252878e-36
11.094628943275218,2.011474170924215e-35,1.8568817601601507e-35,2.1662452741191439e-35,4.083537143023348e-37,2.0523095423544485e-35,3.827950109337921e-37,1.89516126125353e-35,4.355518120804843e-37,2.2098004553271923e-35,2.2569804599030532e-36
11.28837891684689,2.095320401763888e-35,1.93371735512102e-35,2.256332857080685e-35,4.2480408166447285e-37,2.1378008099303352e-35,3.983740829966261e-37,1.9735547634206827e-35,4.529984454092374e-37,2.3016327016216086e-35,2.278731541001644e-36
11.48551242423938,2.1831456818537275e-35,2.0127571422494404e-35,2.3499865815407449e-35,4.415727057402194e-37,2.2273029524277496e-35,4.142766758737341e-37,2.0541848098368137e-35,4.70636020794004e-37,2.397050183620145e-35,2.3007277387483032e-36
11.68608855346651,2.2740129852674344e-35,2.093969897879053e-35,2.446741371303489e-35,4.590032508415247e-37,2.3199133103515868e-35,4.308140802785288e-37,2.1370513059069058e-35,4.889603183267372e-37,2.495637403136163e-35,2.322972657863932e-36
11.890167424419891,2.3665310645520825e-35,2.177273562847736e-35,2.545934886798803e-35,4.771218454952041e-37,2.414243249101603e-35,4.480116370896131e-37,2.2220747265566974e-35,5.0799807565691175e-37,2.596734694364494e-35,2.3454699731802964e-36
12.097810206889012,2.4590756814197056e-35,2.2625651681916205e-35,2.646801868476966e-35,4.958734680868218e-37,2.508663028228388e-35,4.658107809427543e-37,2.309146246285896e-35,5.27740175153925e-37,2.6995758859923584e-35,2.36822343126962e-36
12.309079138896024,2.5506417591139287e-35,2.3496200911871518e-35,2.7493506152866883e-35,5.149148349604039e-37,2.602133242609969e-35,4.838547903546129e-37,2.3980055702226131e-35,5.480487418600392e-37,2.804155489472692e-35,2.3912368521151675e-36
12.524037545350732,2.6424484218313653e-35,2.4386059497659915e-35,2.8538513361608077e-35,5.3468738362884496e-37,2.69591716019425e-35,5.025977665765407e-37,2.4888657264236455e-35,5.6913882549640504e-37,2.9107652187104484e-35,2.4145141308239165e-36
12.742749857031336,2.7363199521610385e-35,2.5299070329236646e-35,2.960301433932921e-35,5.552191912160376e-37,2.7918418712826425e-35,5.2206678533160614e-37,2.5821137114568254e-35,5.910405005001456e-37,3.019405483982935e-35,2.4380592393823652e-36
12.965281629896682,2.8343282699379834e-35,2.6239717074965204e-35,3.06870308321599e-35,5.764475579584686e-37,2.8919730257338303e-35,5.421837380693496e-37,2.6781900813034556e-35,6.136498624948001e-37,3.13006806946547e-35,2.46187622845663e-36
13.191699564735716,2.9369359231155107e-35,2.7212946968602485e-35,3.179060312762306e-35,5.980387452737676e-37,2.9967397976428874e-35,5.625566834852857e-37,2.777550365208777e-35,6.364639011750525e-37,3.242706702879811e-35,2.4859692292379588e-36
13.42207152716012,3.0430674245887e-35,2.8213389469485267e-35,3.2912434902616774e-35,6.204386433958838e-37,3.105111288928288e-35,5.836951570345418e-37,2.879708462651981e-35,6.601261114148888e-37,3.3572561014031663e-35,2.510342455334853e-36
13.656466567946104,3.15175943244334e-35,2.9231313798912936e-35,3.405065585563985e-35,6.4367754307074684e-37,3.216127186750415e-35,6.056279239894405e-37,2.9836941722902376e-35,6.84668026210464e-37,3.473532388185031e-35,2.5350002047129964e-36
13.894954943731374,3.2622408032626046e-35,3.025823477175913e-35,3.520421693114144e-35,6.674119285798966e-37,3.3289819961205943e-35,6.28089469169001e-37,3.088632424092813e-35,7.097696273566467e-37,3.5913986558498086e-35,2.5599468616842392e-36
14.137608138073606,3.3761072145306617e-35,3.1305770127021627e-35,3.637933726727229e-35,6.9154151464047484e-37,3.445261365994709e-35,6.510058614250623e-37,3.195677598844669e-35,7.353400542201114e-37,3.71146773214924e-35,2.585186898945905e-36
14.38449888287663,3.493344638817336e-35,3.237580892716204e-35,3.757750061082535e-35,7.165434808586772e-37,3.5649989869032036e-35,6.747583782458748e-37,3.3050567305407914e-35,7.61831690874454e-37,3.83393323016998e-35,2.6107248796717323e-36
14.635701180190798,3.6133790357473033e-35,3.3466448516818636e-35,3.8798746885274806e-35,7.424493672342995e-37,3.687623972470733e-35,6.993775263656672e-37,3.4165826043184304e-35,7.89277725169165e-37,3.958802461044397e-35,2.6365654596557868e-36
14.891290324394095,3.7355485569597335e-35,3.4575519844031405e-35,4.0043118936947385e-35,7.692918540631173e-37,3.812477742366045e-35,7.248949255834481e-37,3.530041476961485e-35,8.17712540591689e-37,4.0860831477539074e-35,2.662713389510728e-36
15.15134292476053,3.8590990416679474e-35,3.5700576736505765e-35,4.131066375327875e-35,7.971048031630927e-37,3.9388095219842567e-35,7.513433493742136e-37,3.645192008587998e-35,8.471717593418891e-37,4.2157835512620637e-35,2.6891735169218257e-36
15.41593692842272,3.983180903845145e-35,3.68388867897185e-35,4.260143371560133e-35,8.259233005911343e-37,4.0657732339042583e-35,7.787567669817766e-37,3.761764355670028e-35,8.77692286958323e-37,4.3479126002559654e-35,2.7159507889581967e-36
15.68515164373547,4.1072400424099217e-35,3.798946021033505e-35,4.3917848410412503e-35,8.549999274761507e-37,4.1927400351575366e-35,8.06214979288928e-37,3.8795675189623976e-35,9.084762958030969e-37,4.48263247062156e-35,2.7430502544427385e-36
15.95906776404731,4.2320715047403356e-35,3.9156457352645986e-35,4.5265469620393526e-35,8.846521381641364e-37,4.3205367185567494e-35,8.340952501094045e-37,3.999055260275539e-35,9.398621279873932e-37,4.620533174838092e-35,2.7704770663822724e-36
16.237767391887218,4.3577109340327515e-35,4.0337579243382507e-35,4.6638511027434434e-35,9.153327157214537e-37,4.449244205604897e-35,8.629396676165486e-37,4.1200518910999053e-35,9.72332270754642e-37,4.761084329818908e-35,2.798236484459496e-36
16.5213340635737,4.484098749209689e-35,4.1529606359789014e-35,4.80294848948616e-35,9.470773248892117e-37,4.57880648169861e-35,8.927815736254307e-37,4.2422387933414447e-35,1.0059241846199382e-36,4.903540907948154e-35,2.8263338775883103e-36
16.80985277425364,4.6111798916373806e-35,4.2728998747049164e-35,4.943001265937851e-35,9.799228672956768e-37,4.709172178366948e-35,9.236554629671566e-37,4.365265421001632e-35,1.0406766242757212e-36,5.047068928365424e-35,2.8547747265342106e-36
17.103410003378404,4.7389041916764764e-35,4.3931892381806403e-35,5.083080523535537e-35,1.0139075243526814e-36,4.840294944111745e-35,9.555970233621888e-37,4.488748940516859e-35,1.0766296833027199e-36,5.19074349186581e-35,2.883564626601399e-36
17.40209374062485,4.867531044867253e-35,4.513816612043733e-35,5.222833596715745e-35,1.047876210977204e-36,4.972318665964973e-35,9.876775875024474e-37,4.6125843707939773e-35,1.1123352039255669e-36,5.334067117108301e-35,2.9127092903883784e-36
17.70599351226898,4.998433098480215e-35,4.636414560358472e-35,5.36474613804099e-35,1.0820072755207432e-36,5.106633826032289e-35,1.0200463363125515e-36,4.738419193989727e-35,1.1480088422333251e-36,5.479547022264323e-35,2.9422145506137997e-36
18.01520040802025,5.131644423887566e-35,4.761086504089768e-35,5.509025137901573e-35,1.1172500453923461e-36,5.2433694284268e-35,1.0534758927311191e-36,4.86643409336288e-35,1.1848265677421742e-36,5.62750779467579e-35,2.9720863630143988e-36
18.32980710832436,5.266985963325134e-35,4.887675223774957e-35,5.655469545007484e-35,1.153640730676629e-36,5.382350036392797e-35,1.0880010221668537e-36,4.996475325991642e-35,1.2228250724068773e-36,5.777752052248172e-35,3.0023308093168865e-36
18.64990791214297,5.404258468348362e-35,5.016006157879964e-35,5.80385644273782e-35,1.1912167208807201e-36,5.523380140436434e-35,1.1236576293808635e-36,5.128371920818051e-35,1.262042224927785e-36,5.930060665230599e-35,3.032954100285728e-36
18.975598765218503,5.543241785191801e-35,5.145886827980693e-35,5.953940348033084e-35,1.2300166233499522e-36,5.666243447526796e-35,1.1604827958260787e-36,5.261935107563301e-35,1.3025171084901581e-36,6.084192058882099e-35,3.0639625788488005e-36
19.306977288832496,5.683694224852474e-35,5.277106333804134e-35,6.105452608066728e-35,1.270080302934808e-36,5.810702255145955e-35,1.1985148182105385e-36,5.396957815625188e-35,1.344290059713842e-36,6.239881614038112e-35,3.095362723302914e-36
19.64414280906628,5.825352032142285e-35,5.409434929257353e-35,6.258100909941129e-35,1.3114489229500673e-36,5.956496924437292e-35,1.2377932483245036e-36,5.533214254089804e-35,1.3874027088520963e-36,6.396841180826339e-35,3.12716115060134e-36
19.987196386572503,5.967928968499802e-35,5.542623690952767e-35,6.411568919135101e-35,1.3541649874678835e-36,6.103345467246591e-35,1.278358934172629e-36,5.670459584370031e-35,1.4318980212796362e-36,6.554758721263065e-35,3.1593646197254224e-36
20.336240846866723,6.111116023766617e-35,5.676404291022807e-35,6.565516062760481e-35,1.3982723849884029e-36,6.250943262265458e-35,1.3202540624543187e-36,5.808429697268239e-35,1.4778203403112376e-36,6.713298096791604e-35,3.1919800351425084e-36
20.69138081114789,6.254581272396508e-35,5.810488886184147e-35,6.719577473845225e-35,1.4438164335330128e-36,6.398962915749809e-35,1.3635222024362817e-36,5.946841106427776e-35,1.5252154313935466e-36,6.87209901698458e-35,3.225014450352423e-36
21.05272272765707,6.397969889650438e-35,5.944570135051848e-35,6.873364112820697e-35,1.490843927206152e-36,6.547054282371053e-35,1.4082083512627077e-36,6.085390970178119e-35,1.5741305277142904e-36,7.030777165592126e-35,3.2584750715248064e-36
21.42037490358384,6.540904343219581e-35,6.07832135559256e-35,7.026463082131685e-35,1.5394031842737062e-36,6.694844661646951e-35,1.454358980750569e-36,6.223757253667617e-35,1.624614377273966e-36,7.188924519859081e-35,3.2923692612296785e-36
