T_keV,Pfus_per_ne2_pureD_x0_Wm3,Pbrem_per_ne2_pureD_x0_Wm3,Pfus_per_ne2_He3_5pct_x0p05_Wm3,Pbrem_per_ne2_He3_5pct_x0p05_Wm3,Pfus_per_ne2_He3_10pct_x0p1_Wm3,Pbrem_per_ne2_He3_10pct_x0p1_Wm3,Pfus_per_ne2_He3_50pct_x0p5_Wm3,Pbrem_per_ne2_He3_50pct_x0p5_Wm3
1.5511199871599999,3.836460889633341e-40,8.050259648909362e-37,3.142775878566852e-40,8.816951044043587e-37,2.572131074710232e-40,9.513943221438335e-37,4.3213180230046314e-41,1.3417099414848935e-36
1.7234666524,6.289088025616708e-40,8.493101698022845e-37,5.153721143882059e-40,9.301968526405972e-37,4.2195644611845705e-40,1.003730200675427e-36,7.129995303571616e-41,1.4155169496704741e-36
2.1543333155,1.6859708120341914e-39,9.516212338812104e-37,1.3833228515940542e-39,1.0422518275841829e-36,1.1341445451928373e-39,1.1246432764050668e-36,1.95575203726809e-40,1.5860353898020174e-36
2.5851999786,3.547227144181482e-39,1.0447093893044858e-36,2.9159806964039812e-39,1.1442055216191986e-36,2.3957237788069018e-39,1.2346565509962102e-36,4.2570645499467206e-40,1.7411823155074764e-36
3.4469333048,1.0429867564686746e-38,1.2115470277637105e-36,8.623434250098971e-39,1.3269324589793018e-36,7.129768161386902e-39,1.4318283055389304e-36,1.3796479366712276e-39,2.0192450462728512e-36
4.308666631,2.2257283641408284e-38,1.3603874898832172e-36,1.856042310226813e-38,1.4899482032054284e-36,1.548776175123708e-38,1.6077306698619836e-36,3.351787033559143e-39,2.267312483138695e-36
5.1703999572,3.950409114972099e-38,1.496623651924148e-36,3.331166497623936e-38,1.639159237821686e-36,2.8126142855446336e-38,1.7687370431830835e-36,6.900848428754263e-39,2.494372753206913e-36
6.0321332834,6.227750730842366e-38,1.623444418525595e-36,5.323057976416838e-38,1.7780581726708897e-36,4.557530821512827e-38,1.918616130984794e-36,1.2723848985481702e-38,2.705740697542658e-36
6.8938666096,9.064111751526547e-38,1.7429180351396183e-36,7.869944330686049e-38,1.9089102289624387e-36,6.844792498209018e-38,2.0598122233468214e-36,2.1679487181898752e-38,2.9048633918993638e-36
7.755599935799999,1.2408065158677725e-37,1.8564745427752786e-36,1.0966956917881012e-37,2.0332816420872096e-36,9.704245578830287e-38,2.1940153687344193e-36,3.4670743656008467e-38,3.0941242379587974e-36
8.617333262,1.6214542473723914e-37,1.9651503793017694e-36,1.461506316220719e-37,2.1523075582828907e-36,1.3171082236073269e-37,2.3224504482657274e-36,5.262393734033877e-38,3.275250632169616e-36
9.4790665882,2.051533639553968e-37,2.0697243811825194e-36,1.8884458630420437e-37,2.266840988914188e-36,1.7342840829824204e-37,2.446037905033886e-36,7.671352097899652e-38,3.4495406353041986e-36
10.3407999144,2.5225045615851067e-37,2.1707988417404978e-36,2.3740991184841277e-37,2.377541588572926e-36,2.2224082648773256e-37,2.5654895402387696e-36,1.0776675508151691e-37,3.617998069567497e-36
